Name,NCBI Tax ID,JGI ID,Version,Publication,
Boeremia exigua MPI-SDFR-AT-0100,749465,Boeex1,v1.0,,https://genome.jgi.doe.gov/portal/Boeex1/download/Boeex1_GeneCatalog_proteins_20171129.aa.fasta.gz
Bolbitius vitellinus SZMC-NL-1974,34439,Bolvit1,v1.0,,https://genome.jgi.doe.gov/portal/Bolvit1/download/Bolvit1_GeneCatalog_proteins_20160525.aa.fasta.gz
Boletus edulis BED1,36056,Boled5,v4.0,,https://genome.jgi.doe.gov/portal/Boled5/download/Boled5_GeneCatalog_proteins_20170707.aa.fasta.gz
Boliniaceae sp. AZ0804,45489,Cornip1,v1.0,,https://genome.jgi.doe.gov/portal/Cornip1/download/Cornip1_GeneCatalog_proteins_20180727.aa.fasta.gz
Bombardia bombarda SMH3391-2,252184,Bombom1,v1.0,,https://genome.jgi.doe.gov/portal/Bombom1/download/Bombom1_GeneCatalog_proteins_20170616.aa.fasta.gz
Boreostereum radiatum TFC1981-005,103380,Borrad1,v1.0,,https://genome.jgi.doe.gov/portal/Borrad1/download/Borrad1_GeneCatalog_proteins_20180825.aa.fasta.gz
Botryobasidium botryosum,264124,Botbo1,v1.0,PMID:24958869,https://genome.jgi.doe.gov/portal/Botbo1/download/Botbo1_GeneCatalog_proteins_20110803.aa.fasta.gz
Botryosphaeria dothidea,55169,Botdo1_1,,PMID:27682468,https://genome.jgi.doe.gov/portal/Botdo1_1/download/Botdo1_1_GeneCatalog_proteins_20150128.aa.fasta.gz
Botryozyma mucatilis CBS 9042,280465,Botmuc1,v1.0,,https://genome.jgi.doe.gov/portal/Botmuc1/download/Botmuc1_GeneCatalog_proteins_20180420.aa.fasta.gz
Botrytis cinerea,40559,Botci1,v1.0,PMID:23104368,https://genome.jgi.doe.gov/portal/Botci1/download/Botci1_GeneCatalog_proteins_20110903.aa.fasta.gz
Bulgaria inquinans CBS118.31,73172,Bulin1,v1.0,,https://genome.jgi.doe.gov/portal/Bulin1/download/Bulin1_GeneCatalog_proteins_20160325.aa.fasta.gz
Byssothecium circinans CBS 675.92,147558,Bysci1,v1.0,,https://genome.jgi.doe.gov/portal/Bysci1/download/Bysci1_GeneCatalog_proteins_20140627.aa.fasta.gz
Caecomyces churrovis A,2019372,Caecom1,v1.0,,https://genome.jgi.doe.gov/portal/Caecom1/download/Caecom1_GeneCatalog_proteins_20171213.aa.fasta.gz
Caliciopsis orientalis,380014,Calor1,,,https://genome.jgi.doe.gov/portal/Calor1/download/Calor1_GeneCatalog_proteins_20130726.aa.fasta.gz
Calocera cornea,29889,Calco1,v1.0,PMID:26659563,https://genome.jgi.doe.gov/portal/Calco1/download/Calco1_GeneCatalog_proteins_20130417.aa.fasta.gz
Calocera viscosa,63146,Calvi1,v1.0,PMID:26659563,https://genome.jgi.doe.gov/portal/Calvi1/download/Calvi1_GeneCatalog_proteins_20130829.aa.fasta.gz
Caloscypha fulgens ATCC 42695,47187,Calful1,v1.0,,https://genome.jgi.doe.gov/portal/Calful1/download/Calful1_GeneCatalog_proteins_20160326.aa.fasta.gz
Calosphaeria pulchella,312312,Calpu1,,,https://genome.jgi.doe.gov/portal/Calpu1/download/Calpu1_GeneCatalog_proteins_20130805.aa.fasta.gz
Calycina marina TRa3180A,1763456,Calmar1,v1.0,,https://genome.jgi.doe.gov/portal/Calmar1/download/Calmar1_GeneCatalog_proteins_20190202.aa.fasta.gz
Camillea tinctor CBS 203.56,110548,CtCBS203_1,v1.0,,https://genome.jgi.doe.gov/portal/CtCBS203_1/download/CtCBS203_1_GeneCatalog_proteins_20190619.aa.fasta.gz
Candida arabinofermentans NRRL YB-2248,983967,Canar1,v1.0,PMID:27535936,https://genome.jgi.doe.gov/portal/Canar1/download/Canar1_GeneCatalog_proteins_20111127.aa.fasta.gz
Candida boidinii NRRL Y-2332,5477,Canbo1,,PMID:29760453,https://genome.jgi.doe.gov/portal/Canbo1/download/Canbo1_GeneCatalog_proteins_20181210.aa.fasta.gz
Candida tanzawaensis NRRL Y-17324 ,984487,Canta1,v1.0,PMID:27535936,https://genome.jgi.doe.gov/portal/Canta1/download/Canta1_GeneCatalog_proteins_20120131.aa.fasta.gz
Candida tenuis NRRL Y-1498,45596,Cante1,v1.0,PMID:21788494,https://genome.jgi.doe.gov/portal/Cante1/download/Cante1_all_proteins_v1_1.fasta.gz
Cantharellus anzutake C23,1750568,Cananz1,v1.0,,https://genome.jgi.doe.gov/portal/Cananz1/download/Cananz1_GeneCatalog_proteins_20160317.aa.fasta.gz
Capronia semiimmersa CBS27337,5601,Capse1,,PMID:28348446,https://genome.jgi.doe.gov/portal/Capse1/download/Capse1_GeneCatalog_proteins_20160902.aa.fasta.gz
Caulochytrium protostelioides ATCC 52028,1555241,Caupr1,v1.0,PMID:30297742,https://genome.jgi.doe.gov/portal/Caupr1/download/Caupr1_GeneCatalog_proteins_20150107.aa.fasta.gz
Cenococcum geophilum 1.58,794803,Cenge3,v2.0,PMID:27601008,https://genome.jgi.doe.gov/portal/Cenge3/download/Cenge3_GeneCatalog_proteins_20130403.aa.fasta.gz
Cephaloascus albidus ATCC 66658,43958,Cepal1_1,v1.0,,https://genome.jgi.doe.gov/portal/Cepal1_1/download/Cepal1_1_GeneCatalog_proteins_20150113.aa.fasta.gz
Cephaloascus fragrans 12-1022,27311,Cepfr1_1,v1.0,,https://genome.jgi.doe.gov/portal/Cepfr1_1/download/Cepfr1_1_GeneCatalog_proteins_20150115.aa.fasta.gz
"Ceratobasidium sp. (anastomosis group I, AG-I)",5251,CerAGI,v1.0,,https://genome.jgi.doe.gov/portal/CerAGI/download/CerAGI_GeneCatalog_proteins_20150524.aa.fasta.gz
Cercophora caudata CBS 606.72,314043,Cercau1,v1.0,,https://genome.jgi.doe.gov/portal/Cercau1/download/Cercau1_GeneCatalog_proteins_20170822.aa.fasta.gz
Cercophora newfieldiana SMH2532-1,92897,Cernew1,v1.0,,https://genome.jgi.doe.gov/portal/Cernew1/download/Cernew1_GeneCatalog_proteins_20170729.aa.fasta.gz
Cercophora scortea SMH4131-1,314031,Cersc1,v1.0,,https://genome.jgi.doe.gov/portal/Cersc1/download/Cersc1_GeneCatalog_proteins_20171129.aa.fasta.gz
Cercospora zeae-maydis,135779,Cerzm1,v1.0,,https://genome.jgi.doe.gov/portal/Cerzm1/download/Cerzm1_GeneCatalog_proteins_20111029.aa.fasta.gz
Cerinomyces ceraceus ATCC 56525,1175230,Cercer1,v1.0,,https://genome.jgi.doe.gov/portal/Cercer1/download/Cercer1_GeneCatalog_proteins_20160510.aa.fasta.gz
Ceriporia viridans OMC1683,40428,Cervir1,v1.0,,https://genome.jgi.doe.gov/portal/Cervir1/download/Cervir1_GeneCatalog_proteins_20180925.aa.fasta.gz
Ceriporiopsis (Gelatoporia) subvermispora B,914234,Cersu1,,PMID:22434909,https://genome.jgi.doe.gov/portal/Cersu1/download/Ceriporiopsis_subvermispora.proteins.fasta.gz
Cerrena unicolor,90312,Cerun2,v1.1,,https://genome.jgi.doe.gov/portal/Cerun2/download/Cerun2_GeneCatalog_proteins_20130111.aa.fasta.gz
Chaetomidium fimeti CBS 168.71,1854472,Chafi1,v1.0,,https://genome.jgi.doe.gov/portal/Chafi1/download/Chafi1_GeneCatalog_proteins_20180308.aa.fasta.gz
Chaetomium funicola MPI-SDFR-AT-0129,1934379,Chafu1,v1.0,,https://genome.jgi.doe.gov/portal/Chafu1/download/Chafu1_GeneCatalog_proteins_20190111.aa.fasta.gz
Chaetomium globosum,38033,Chagl_1,v1.0,PMID:25720678,https://genome.jgi.doe.gov/portal/Chagl_1/download/Chagl_1_GeneModels_BroadGeneModels_aa.fasta.gz
Chaetomium megalocarpum MPI-CAGE-AT-0009,1036259,Chame1,v1.0,,https://genome.jgi.doe.gov/portal/Chame1/download/Chame1_GeneCatalog_proteins_20190111.aa.fasta.gz
Chaetosphaeria innumera,139949,Chain1,,,https://genome.jgi.doe.gov/portal/Chain1/download/Chain1_GeneCatalog_proteins_20130808.aa.fasta.gz
Chaetosphaeriaceae sp. FL1790,1896340,CodFL1790_1,v1.0,,https://genome.jgi.doe.gov/portal/CodFL1790_1/download/CodFL1790_1_GeneCatalog_proteins_20181025.aa.fasta.gz
Chalara longipes BDJ,1379296,Chalo1,v1.0,,https://genome.jgi.doe.gov/portal/Chalo1/download/Chalo1_GeneCatalog_proteins_20130611.aa.fasta.gz
Chionosphaera apobasidialis 52639,54742,Chiap1,v1.0,,https://genome.jgi.doe.gov/portal/Chiap1/download/Chiap1_GeneCatalog_proteins_20150110.aa.fasta.gz
Chionosphaera cuniculicola CBS10063 ,180810,Chicu1,v1.0,,https://genome.jgi.doe.gov/portal/Chicu1/download/Chicu1_GeneCatalog_proteins_20160411.aa.fasta.gz
Choiromyces venosus 120613-1,1336337,Chove1,v1.0,PMID:30420746,https://genome.jgi.doe.gov/portal/Chove1/download/Chove1_GeneCatalog_proteins_20131210.aa.fasta.gz
Chytridium lagenaria Arg66,64509,Chylag1,v1.0,,https://genome.jgi.doe.gov/portal/Chylag1/download/Chylag1_GeneCatalog_proteins_20170110.aa.fasta.gz
Chytriomyces hyalinus JEL632,4814,Chyhya1,v1.0,,https://genome.jgi.doe.gov/portal/Chyhya1/download/Chyhya1_GeneCatalog_proteins_20180531.aa.fasta.gz
Chytriomyces sp. MP 71,1882861,Chytri1,v1.0,,https://genome.jgi.doe.gov/portal/Chytri1/download/Chytri1_GeneCatalog_proteins_20161010.aa.fasta.gz
Circinella umbellata NRRL1351,101103,Cirumb1,v1.0,,https://genome.jgi.doe.gov/portal/Cirumb1/download/Cirumb1_GeneCatalog_proteins_20170119.aa.fasta.gz
Citeromyces matritensis NRRL Y-2407,36909,Citma1,,PMID:29760453,https://genome.jgi.doe.gov/portal/Citma1/download/Citma1_GeneCatalog_proteins_20181210.aa.fasta.gz
Cladochytrium polystomum WB228,1437435,Clapol1_1,v1.0,,https://genome.jgi.doe.gov/portal/Clapol1_1/download/Clapol1_1_GeneCatalog_proteins_20180327.aa.fasta.gz
Cladonia grayi Cgr/DA2myc/ss,27339,Clagr3,v2.0,PMID:31337355,https://genome.jgi.doe.gov/portal/Clagr3/download/Clagr3_GeneCatalog_proteins_20111121.aa.fasta.gz
Cladorrhinum bulbillosum DJ3,585595,Clabul1,v1.0,,https://genome.jgi.doe.gov/portal/Clabul1/download/Clabul1_GeneCatalog_proteins_20160908.aa.fasta.gz
Cladosporium fulvum,5499,Clafu1,v1.0,PMID:23209441,https://genome.jgi.doe.gov/portal/Clafu1/download/Clafu1_GeneCatalog_proteins_20110826.aa.fasta.gz
Cladosporium sphaerospermum UM 843,1151026,Clasph1,,PMID:22544899,https://genome.jgi.doe.gov/portal/Clasph1/download/Clasph1_GeneCatalog_proteins_20160727.aa.fasta.gz
Clathrospora elynae CBS 161.51,706981,Clael1,v1.0,,https://genome.jgi.doe.gov/portal/Clael1/download/Clael1_GeneCatalog_proteins_20140828.aa.fasta.gz
Clavicorona pyxidata HHB10654,48021,Clapy1,v1.0,,https://genome.jgi.doe.gov/portal/Clapy1/download/Clapy1_GeneCatalog_proteins_20140612.aa.fasta.gz
Clavulina sp. PMI_390,1486700,ClaPMI390,v1.0,,https://genome.jgi.doe.gov/portal/ClaPMI390/download/ClaPMI390_GeneCatalog_proteins_20140716.aa.fasta.gz
Climacocystis borealis CliBor001,239101,Clibor1,v1.0,,https://genome.jgi.doe.gov/portal/Clibor1/download/Clibor1_GeneCatalog_proteins_20161122.aa.fasta.gz
Clitocybe gibba IJFM A808,378275,Cligib1,v1.0,,https://genome.jgi.doe.gov/portal/Cligib1/download/Cligib1_GeneCatalog_proteins_20161107.aa.fasta.gz
Clonostachys rosea CBS125111,29856,Cloro1,v1.0,,https://genome.jgi.doe.gov/portal/Cloro1/download/Cloro1_GeneCatalog_proteins_20150131.aa.fasta.gz
Coccodinium bartschii CBS 121709,1450531,Cocba1,v1.0,,https://genome.jgi.doe.gov/portal/Cocba1/download/Cocba1_GeneCatalog_proteins_20140926.aa.fasta.gz
Coccomyces strobi CBS 202.91,380015,Cocst1,v1.0,,https://genome.jgi.doe.gov/portal/Cocst1/download/Cocst1_GeneCatalog_proteins_20151128.aa.fasta.gz
Cochliobolus carbonum 26-R-13,930089,Cocca1,v1.0,PMID:23357949,https://genome.jgi.doe.gov/portal/Cocca1/download/Cocca1_GeneCatalog_proteins_20120427.aa.fasta.gz
Cochliobolus heterostrophus C4,665024,CocheC4_1,v1.0,PMID:23236275,https://genome.jgi.doe.gov/portal/CocheC4_1/download/CocheC4_1_GeneCatalog_proteins_20110824.aa.fasta.gz
Cochliobolus heterostrophus C5,701091,CocheC5_3,v2.0,PMID:23236275,https://genome.jgi.doe.gov/portal/CocheC5_3/download/CocheC5_3_GeneCatalog_proteins_20110901.aa.fasta.gz
Cochliobolus lunatus m118,977863,Coclu2,v2.0,PMID:23236275,https://genome.jgi.doe.gov/portal/Coclu2/download/Coclu2_GeneCatalog_proteins_20120521.aa.fasta.gz
Cochliobolus miyabeanus ATCC 44560,930090,Cocmi1,v1.0,PMID:23357949,https://genome.jgi.doe.gov/portal/Cocmi1/download/Cocmi1_GeneCatalog_proteins_20120427.aa.fasta.gz
Cochliobolus sativus ND90Pr,665912,Cocsa1,v1.0,PMID:23236275,https://genome.jgi.doe.gov/portal/Cocsa1/download/Cocsa1_GeneCatalog_proteins_20110610.aa.fasta.gz
Cochliobolus victoriae FI3,930091,Cocvi1,v1.0,PMID:23357949,https://genome.jgi.doe.gov/portal/Cocvi1/download/Cocvi1_GeneCatalog_proteins_20120501.aa.fasta.gz
Coemansia mojavensis RSA 71,4864,Coemoj1,v1.0,,https://genome.jgi.doe.gov/portal/Coemoj1/download/Coemoj1_GeneCatalog_proteins_20180326.aa.fasta.gz
Coemansia reversa NRRL 1564,763665,Coere1,v1.0,PMID:25977457,https://genome.jgi.doe.gov/portal/Coere1/download/Coere1_GeneCatalog_proteins_20110909.aa.fasta.gz
Coemansia spiralis RSA 1278,417178,Coespi1,v1.0,,https://genome.jgi.doe.gov/portal/Coespi1/download/Coespi1_GeneCatalog_proteins_20170411.aa.fasta.gz
Cokeromyces recurvatus NRRL 2243,90255,Cokrec1,v1.0,,https://genome.jgi.doe.gov/portal/Cokrec1/download/Cokrec1_GeneCatalog_proteins_20170123.aa.fasta.gz
Colletotrichum abscissum IMI 504890,1671311,Colab1,,,https://genome.jgi.doe.gov/portal/Colab1/download/Colab1_GeneCatalog_proteins_20180729.aa.fasta.gz
Colletotrichum acutatum CBS 112980,27357,Colac2,v2.0,,https://genome.jgi.doe.gov/portal/Colac2/download/Colac2_GeneCatalog_proteins_20170414.aa.fasta.gz
Colletotrichum caudatum CBS131602,5460,Colca1,v1.0,,https://genome.jgi.doe.gov/portal/Colca1/download/Colca1_GeneCatalog_proteins_20150403.aa.fasta.gz
Colletotrichum cereale CBS 129662,343994,Colce1,v1.0,,https://genome.jgi.doe.gov/portal/Colce1/download/Colce1_GeneCatalog_proteins_20161230.aa.fasta.gz
Colletotrichum costaricense IMI 309622,1209916,Colco1,,,https://genome.jgi.doe.gov/portal/Colco1/download/Colco1_GeneCatalog_proteins_20180729.aa.fasta.gz
Colletotrichum cuscutae IMI 304802,1209917,Colcu1,,,https://genome.jgi.doe.gov/portal/Colcu1/download/Colcu1_GeneCatalog_proteins_20180803.aa.fasta.gz
Colletotrichum eremochloae CBS129661,1173702,Coler1,v1.0,,https://genome.jgi.doe.gov/portal/Coler1/download/Coler1_GeneCatalog_proteins_20141231.aa.fasta.gz
Colletotrichum falcatum MAFF306170,129314,Colfa1,v1.0,,https://genome.jgi.doe.gov/portal/Colfa1/download/Colfa1_GeneCatalog_proteins_20141228.aa.fasta.gz
Colletotrichum godetiae CBS 193.32,1209918,Colgo1,v1.0,,https://genome.jgi.doe.gov/portal/Colgo1/download/Colgo1_GeneCatalog_proteins_20160414.aa.fasta.gz
Colletotrichum lupini CBS 109225,145971,Collu1,v1.0,,https://genome.jgi.doe.gov/portal/Collu1/download/Collu1_GeneCatalog_proteins_20160428.aa.fasta.gz
Colletotrichum melonis CBS 134730,1209925,Colme1,,,https://genome.jgi.doe.gov/portal/Colme1/download/Colme1_GeneCatalog_proteins_20180731.aa.fasta.gz
Colletotrichum navitas CBS125086,681940,Colna1,v1.0,,https://genome.jgi.doe.gov/portal/Colna1/download/Colna1_GeneCatalog_proteins_20170406.aa.fasta.gz
Colletotrichum paranaense IMI 384185,1914294,Colpa1,,,https://genome.jgi.doe.gov/portal/Colpa1/download/Colpa1_GeneCatalog_proteins_20180729.aa.fasta.gz
Colletotrichum phormii CBS102054,359342,Colph1,v1.0,,https://genome.jgi.doe.gov/portal/Colph1/download/Colph1_GeneCatalog_proteins_20160704.aa.fasta.gz
Colletotrichum somersetensis CBS 131599,1500509,Colso1,v1.0,,https://genome.jgi.doe.gov/portal/Colso1/download/Colso1_GeneCatalog_proteins_20141229.aa.fasta.gz
Colletotrichum sp. CBS 101611,34409,Colsp1,,,https://genome.jgi.doe.gov/portal/Colsp1/download/Colsp1_GeneCatalog_proteins_20180729.aa.fasta.gz
Colletotrichum tamarilloi CBS 129955,1209934,Colta1,,,https://genome.jgi.doe.gov/portal/Colta1/download/Colta1_GeneCatalog_proteins_20180729.aa.fasta.gz
Colletotrichum zoysiae MAFF235873,1216348,Colzo1,v1.0,,https://genome.jgi.doe.gov/portal/Colzo1/download/Colzo1_GeneCatalog_proteins_20150103.aa.fasta.gz
Conidiobolus thromboides FSU 785,1314799,Conth1,v1.0,,https://genome.jgi.doe.gov/portal/Conth1/download/Conth1_GeneCatalog_proteins_20141003.aa.fasta.gz
Coniochaeta ligniaria CBS 111746,177197,Conli1,,,https://genome.jgi.doe.gov/portal/Conli1/download/Conli1_GeneCatalog_proteins_20130808.aa.fasta.gz
Coniochaeta sp. 2T2.1,1571157,Conioc1,v1.0,,https://genome.jgi.doe.gov/portal/Conioc1/download/Conioc1_GeneCatalog_proteins_20180327.aa.fasta.gz
Coniochaeta sp. PMI_546,1450552,ConPMI546,v1.0,,https://genome.jgi.doe.gov/portal/ConPMI546/download/ConPMI546_GeneCatalog_proteins_20140720.aa.fasta.gz
Coniophora olivacea MUCL 20566,85977,Conol1,v1.0,PMID:29145801,https://genome.jgi.doe.gov/portal/Conol1/download/Conol1_GeneCatalog_proteins_20151211.aa.fasta.gz
Coniophora puteana,80637,Conpu1,v1.0,PMID:22745431,https://genome.jgi.doe.gov/portal/Conpu1/download/Conpu1_GeneCatalog_proteins_20101116.aa.fasta.gz
Conocybe apala SZMC-NL-8967,229365,Conapa1,v1.0,,https://genome.jgi.doe.gov/portal/Conapa1/download/Conapa1_GeneCatalog_proteins_20181024.aa.fasta.gz
Coprinellus angulatus DOB1924,980116,Copang1,v1.0,,https://genome.jgi.doe.gov/portal/Copang1/download/Copang1_GeneCatalog_proteins_20180426.aa.fasta.gz
Coprinellus micaceus FP101781,71717,Copmic2,v2.0,PMID:30886374,https://genome.jgi.doe.gov/portal/Copmic2/download/Copmic2_FM1_removed_alleles_proteins.fasta.gz
Coprinellus pellucidus,575509,Coppel1,v1.0,,https://genome.jgi.doe.gov/portal/Coppel1/download/Coppel1_GeneCatalog_proteins_20151130.aa.fasta.gz
Coprinopsis cinerea,5346,Copci1,,PMID:20547848,https://genome.jgi.doe.gov/portal/Copci1/download/Coprinopsis_cinerea.proteins.fasta.gz
Coprinopsis cinerea AmutBmut pab1-1,1132390,Copci_AmutBmut1,v1.0,PMID:26510163,https://genome.jgi.doe.gov/portal/Copci_AmutBmut1/download/Copci_AmutBmut1_GeneCatalog_proteins_20130522.aa.fasta.gz
Coprinopsis marcescibilis CBS121175,230819,Copmar1,v1.0,PMID:30886374,https://genome.jgi.doe.gov/portal/Copmar1/download/Copmar1_GeneCatalog_proteins_20151019.aa.fasta.gz
Coprinopsis sclerotiger,71723,Copscl1,v1.0,,https://genome.jgi.doe.gov/portal/Copscl1/download/Copscl1_GeneCatalog_proteins_20151130.aa.fasta.gz
Coprinus phaeopunctatus MPI-PUGE-AT-0042,979884,Copph3,v1.0,,https://genome.jgi.doe.gov/portal/Copph3/download/Copph3_GeneCatalog_proteins_20190117.aa.fasta.gz
Corollospora maritima CBS 119819,45810,Corma2,v2.0,,https://genome.jgi.doe.gov/portal/Corma2/download/Corma2_GeneCatalog_proteins_20150506.aa.fasta.gz
Cortinarius aff. campbellae TAS5-PSC4363,34451,Corcam1,v1.0,,https://genome.jgi.doe.gov/portal/Corcam1/download/Corcam1_GeneCatalog_proteins_20181006.aa.fasta.gz
Cortinarius austrovenetus TL2843-KIS7R,742016,Coraus1,v1.0,,https://genome.jgi.doe.gov/portal/Coraus1/download/Coraus1_GeneCatalog_proteins_20181214.aa.fasta.gz
Cortinarius glaucopus AT 2004 276,1149754,Corgl3,v2.0,,https://genome.jgi.doe.gov/portal/Corgl3/download/Corgl3_GeneCatalog_proteins_20130626.aa.fasta.gz
Corynespora cassiicola CCP,59586,Corca1,v1.0,PMID:29551995,https://genome.jgi.doe.gov/portal/Corca1/download/Corca1_GeneCatalog_proteins_20140615.aa.fasta.gz
Crassisporium funariophilum DOB1098,1954473,Crafun1,v1.0,,https://genome.jgi.doe.gov/portal/Crafun1/download/Crafun1_GeneCatalog_proteins_20170607.aa.fasta.gz
Crepidotus cesatii CBS 511.95,110238,Creces1,v1.0,,https://genome.jgi.doe.gov/portal/Creces1/download/Creces1_GeneCatalog_proteins_20180507.aa.fasta.gz
Crepidotus variabilis CBS 506.95,179855,Crevar1,v1.0,,https://genome.jgi.doe.gov/portal/Crevar1/download/Crevar1_GeneCatalog_proteins_20151207.aa.fasta.gz
Cristinia sonorae KKN 215,1940300,Crison1,v1.0,,https://genome.jgi.doe.gov/portal/Crison1/download/Crison1_GeneCatalog_proteins_20180618.aa.fasta.gz
Cronartium quercuum f. sp. fusiforme G11,708437,Croqu1,v1.0,PMID:25018762,https://genome.jgi.doe.gov/portal/Croqu1/download/Croqu1_GeneCatalog_proteins_20120612.aa.fasta.gz
Crucibulum laeve CBS 166.37,68775,Crula1,v1.0,PMID:30886374,https://genome.jgi.doe.gov/portal/Crula1/download/Crula1_GeneCatalog_proteins_20151130.aa.fasta.gz
Crustoderma dryinum OMC1663,1333630,Crudry1,v1.0,,https://genome.jgi.doe.gov/portal/Crudry1/download/Crudry1_GeneCatalog_proteins_20181128.aa.fasta.gz
Cryphonectria parasitica EP155,660469,Crypa2,v2.0,,https://genome.jgi.doe.gov/portal/Crypa2/download/Cparasiticav2.GeneCatalog20091217.proteins.fasta.gz
Cryptococcus neoformans var. grubii H99,235443,Cryne_H99_1,,PMID:24743168,https://genome.jgi.doe.gov/portal/Cryne_H99_1/download/Cryptococcus_neoformans_H99.proteins.fasta.gz
Cryptococcus terricola JCM 24523,104414,Cryte1,v1.0,,https://genome.jgi.doe.gov/portal/Cryte1/download/Cryte1_GeneCatalog_proteins_20150926.aa.fasta.gz
Cryptococcus vishniacii,89929,Cryvi1,v1.0,,https://genome.jgi.doe.gov/portal/Cryvi1/download/Cryvi1_GeneCatalog_proteins_20130104.aa.fasta.gz
Cryptococcus wieringae,104416,Crywi1,v1.0,,https://genome.jgi.doe.gov/portal/Crywi1/download/Crywi1_GeneCatalog_proteins_20160204.aa.fasta.gz
Cryptodiaporthe populea CFL2025,940279,Crypo1,v1.0,,https://genome.jgi.doe.gov/portal/Crypo1/download/Crypo1_GeneCatalog_proteins_20161116.aa.fasta.gz
Cryptodiaporthe sp. AZ0812,1907526,Crypto1,v1.0,,https://genome.jgi.doe.gov/portal/Crypto1/download/Crypto1_GeneCatalog_proteins_20171024.aa.fasta.gz
Cucurbitaria berberidis CBS 394.84,1168544,Cucbe1,v1.0,,https://genome.jgi.doe.gov/portal/Cucbe1/download/Cucbe1_GeneCatalog_proteins_20130102.aa.fasta.gz
Cunninghamella echinulata NRRL 1382,76405,Cunech1,v1.0,,https://genome.jgi.doe.gov/portal/Cunech1/download/Cunech1_GeneCatalog_proteins_20170119.aa.fasta.gz
Cyathus striatus AH 40144,68777,Cyastr2,v1.0,,https://genome.jgi.doe.gov/portal/Cyastr2/download/Cyastr2_GeneCatalog_proteins_20160525.aa.fasta.gz
Cylindrocarpon olidum MPI-CAGE-CH-0241,303675,Cylol1,v1.0,,https://genome.jgi.doe.gov/portal/Cylol1/download/Cylol1_GeneCatalog_proteins_20180714.aa.fasta.gz
Cystobasidium minutum MCA 4210,1397322,Rhomi1,v1.0,PMID:30264407,https://genome.jgi.doe.gov/portal/Rhomi1/download/Rhomi1_GeneCatalog_proteins_20140320.aa.fasta.gz
Cystostereum murrayi CysMur001,467946,Cysmur1,v1.0,,https://genome.jgi.doe.gov/portal/Cysmur1/download/Cysmur1_GeneCatalog_proteins_20160906.aa.fasta.gz
Cytidiella melzeri FP 102339,1883072,Cytmel1,v1.0,,https://genome.jgi.doe.gov/portal/Cytmel1/download/Cytmel1_GeneCatalog_proteins_20170103.aa.fasta.gz
Cytospora chrysosperma CFL2056,252740,Cytch1,v1.0,,https://genome.jgi.doe.gov/portal/Cytch1/download/Cytch1_GeneCatalog_proteins_20171014.aa.fasta.gz
Dacrymyces fennicus OMC1656,5255,Dactor1,v1.0,,https://genome.jgi.doe.gov/portal/Dactor1/download/Dactor1_GeneCatalog_proteins_20180816.aa.fasta.gz
Dacryonaema rufum OMC1653,2079950,Dacruf1,v1.0,,https://genome.jgi.doe.gov/portal/Dacruf1/download/Dacruf1_GeneCatalog_proteins_20181204.aa.fasta.gz
Dactylonectria estremocensis MPI-CAGE-AT-0021,1079267,Daces1,v1.0,,https://genome.jgi.doe.gov/portal/Daces1/download/Daces1_GeneCatalog_proteins_20180402.aa.fasta.gz
Dactylonectria macrodidyma MPI-CAGE-AT-0147,307937,Dacma1,v1.0,,https://genome.jgi.doe.gov/portal/Dacma1/download/Dacma1_GeneCatalog_proteins_20180621.aa.fasta.gz
Daedalea quercina,40437,Daequ1,v1.0,PMID:26659563,https://genome.jgi.doe.gov/portal/Daequ1/download/Daequ1_GeneCatalog_proteins_20130110.aa.fasta.gz
Daldinia grandis CBS 114736,103428,Dalgra1,v1.0,,https://genome.jgi.doe.gov/portal/Dalgra1/download/Dalgra1_GeneCatalog_proteins_20190325.aa.fasta.gz
Daldinia loculata AZ0526,103429,DallocAZ0526,v1.0,,https://genome.jgi.doe.gov/portal/DallocAZ0526/download/DallocAZ0526_GeneCatalog_proteins_20190325.aa.fasta.gz
Daldinia sp. FL1419,1769485,DaFL1419_1,v1.0,,https://genome.jgi.doe.gov/portal/DaFL1419_1/download/DaFL1419_1_GeneCatalog_proteins_20190501.aa.fasta.gz
Daldinia vernicosa CBS 139.73,114800,Dalver1,v1.0,,https://genome.jgi.doe.gov/portal/Dalver1/download/Dalver1_GeneCatalog_proteins_20190325.aa.fasta.gz
Debaryomyces hansenii,4959,Debha1,,PMID:18673395,https://genome.jgi.doe.gov/portal/Debha1/download/Debha1_GeneCatalog_proteins_20130209.aa.fasta.gz
Decorospora gaudefroyi,184978,Decga1,v1.0,,https://genome.jgi.doe.gov/portal/Decga1/download/Decga1_GeneCatalog_proteins_20150425.aa.fasta.gz
Dekkera bruxellensis CBS 2499,747657,Dekbr2,v2.0,PMID:22663979,https://genome.jgi.doe.gov/portal/Dekbr2/download/Dekbr2_GeneCatalog_proteins_20120306.aa.fasta.gz
Delitschia confertaspora ATCC 74209,1513339,Delco1,v1.0,,https://genome.jgi.doe.gov/portal/Delco1/download/Delco1_GeneCatalog_proteins_20140624.aa.fasta.gz
Delphinella strobiligena CBS 735.71,147560,Delst1,v1.0,,https://genome.jgi.doe.gov/portal/Delst1/download/Delst1_GeneCatalog_proteins_20160906.aa.fasta.gz
